,ALDER,KOMGRP,TID,INDHOLD
578,35-39 år,Assens,2024,2244
579,35-39 år,Faaborg-Midtfyn,2024,2974
580,35-39 år,Kerteminde,2024,1319
581,35-39 år,Langeland,2024,530
582,35-39 år,Middelfart,2024,2142
583,35-39 år,Nordfyns,2024,1572
584,35-39 år,Nyborg,2024,1650
585,35-39 år,Odense,2024,12469
586,35-39 år,Svendborg,2024,3437
587,35-39 år,Ærø,2024,219
588,35-39 år,Billund,2024,1695
589,35-39 år,Esbjerg,2024,6711
590,35-39 år,Fanø,2024,118
591,35-39 år,Fredericia,2024,2948
592,35-39 år,Haderslev,2024,2993
593,35-39 år,Kolding,2024,5798
594,35-39 år,Sønderborg,2024,3828
595,35-39 år,Tønder,2024,1967
596,35-39 år,Varde,2024,2719
597,35-39 år,Vejen,2024,2522
598,35-39 år,Vejle,2024,7884
599,35-39 år,Aabenraa,2024,3089
600,35-39 år,Favrskov,2024,3120
601,35-39 år,Hedensted,2024,2776
602,35-39 år,Horsens,2024,6501
603,35-39 år,Norddjurs,2024,1914
604,35-39 år,Odder,2024,1382
605,35-39 år,Randers,2024,6009
606,35-39 år,Samsø,2024,148
607,35-39 år,Silkeborg,2024,6545
608,35-39 år,Skanderborg,2024,4556
609,35-39 år,Syddjurs,2024,2427
610,35-39 år,Aarhus,2024,22257
611,35-39 år,Herning,2024,5377
612,35-39 år,Holstebro,2024,3412
613,35-39 år,Ikast-Brande,2024,2704
614,35-39 år,Lemvig,2024,918
615,35-39 år,Ringkøbing-Skjern,2024,2964
616,35-39 år,Skive,2024,2382
617,35-39 år,Struer,2024,946
618,35-39 år,Viborg,2024,5555
619,35-39 år,Brønderslev,2024,2171
620,35-39 år,Frederikshavn,2024,3028
621,35-39 år,Hjørring,2024,3340
622,35-39 år,Jammerbugt,2024,2028
623,35-39 år,Læsø,2024,47
624,35-39 år,Mariagerfjord,2024,2232
625,35-39 år,Morsø,2024,965
626,35-39 år,Rebild,2024,2076
627,35-39 år,Thisted,2024,2368
628,35-39 år,Vesthimmerlands,2024,2054
629,35-39 år,Aalborg,2024,13253
630,40-44 år,Hele landet,2024,338593
631,40-44 år,Hovedstadskommuner,2024,104650
632,40-44 år,Storbykommuner,2024,41787
633,40-44 år,Provinsbykommuner,2024,77057
634,40-44 år,Oplandskommuner,2024,54201
635,40-44 år,Landkommuner,2024,60898
636,40-44 år,København,2024,41438
637,40-44 år,Frederiksberg,2024,5722
638,40-44 år,Dragør,2024,874
639,40-44 år,Tårnby,2024,3029
640,40-44 år,Albertslund,2024,1691
641,40-44 år,Ballerup,2024,3152
