,mpg,milage,maketype,car_id,region,price,make,type,scrapedate,alder,ccm2,doors,aldercat,navn
487,20.4,152500.0,"Toyota Yaris 1,3 VVT-i T2 5d",5583374,Syd- og Vestsjælland,89900.0,Toyota,Yaris,2022-11-08 22:29:38.772658,7,1300.0,5d,veteran,Region Sjælland
488,23.3,115000.0,"Ford Fiesta 1,0 SCTi 125 Titanium 5d",5568204,Syd- og Sønderjylland,119900.0,Ford,Fiesta,2022-11-08 22:29:38.772658,6,1000.0,5d,veteran,Region Syddanmark
489,13.9,179000.0,"Ford Mondeo 1,6 Ti-VCT 110 Ambiente stc. 5d",5288223,Syd- og Vestsjælland,59800.0,Ford,Mondeo,2022-11-08 22:29:38.772658,15,1600.0,5d,veteran,Region Sjælland
490,18.5,73000.0,"Volvo V40 2,0 T2 122 Kinetic Eco 5d",5572592,Syd- og Sønderjylland,189900.0,Volvo,V40,2022-11-08 22:29:38.772658,5,2000.0,5d,veteran,Region Syddanmark
491,22.0,2000.0,"Ford Focus 1,0 EcoBoost mHEV Titanium stc. DCT 5d",5433284,Syd- og Vestsjælland,329900.0,Ford,Focus,2022-11-08 22:29:38.772658,0,1000.0,5d,veteran,Region Sjælland
492,23.4,14000.0,"Ford Fiesta 1,0 EcoBoost Titanium 5d",5612274,Nordsjælland,159900.0,Ford,Fiesta,2022-11-08 22:29:38.772658,3,1000.0,5d,veteran,Region Sjælland
493,19.6,53136.0,"Ford C-MAX 1,0 SCTi 100 Titanium 5d",5583059,Fyn,169900.0,Ford,C-MAX,2022-11-08 22:29:38.772658,4,1000.0,5d,veteran,Region Syddanmark
494,18.9,19722.0,"Toyota Corolla 1,2 T3 Smart Touring Sports 5d",5553015,Syd- og Sønderjylland,284900.0,Toyota,Corolla,2022-11-08 22:29:38.772658,2,1200.0,5d,veteran,Region Syddanmark
495,14.9,121000.0,"Ford Focus 1,6 Trend stc. 5d",5612336,København,49900.0,Ford,Focus,2022-11-08 22:29:38.772658,14,1600.0,5d,veteran,Region Hovedstaden
496,11.1,284000.0,"Volvo V70 2,4 140 Classic 5d",5554573,Syd- og Sønderjylland,64500.0,Volvo,V70,2022-11-08 22:29:38.772658,14,2400.0,5d,veteran,Region Syddanmark
497,16.1,100000.0,"Ford Kuga 1,5 SCTi 150 Titanium 5d",5537028,København,179900.0,Ford,Kuga,2022-11-08 22:29:38.772658,6,1500.0,5d,veteran,Region Hovedstaden
498,21.6,66994.0,"Ford Fiesta 1,0 EcoBoost ST-Line 5d",5583020,Fyn,149900.0,Ford,Fiesta,2022-11-08 22:29:38.772658,4,1000.0,5d,veteran,Region Syddanmark
499,12.8,181000.0,"Volvo V40 1,8 Jubilæum 5d",5364569,København,37900.0,Volvo,V40,2022-11-08 22:29:38.772658,18,1800.0,5d,veteran,Region Hovedstaden
